NIRVAANIC LIFE FOODS PRIVATE LIMITED,,,,,,,,
"314, 'Sagarika",,,,,,,,
"7 Main, 14 B Cross,",,,,,,,,
"HSR Sector 6, Bangalore-560102",,,,,,,,
"GSTIN:  29AAFCN4275L1ZW",,,,,,,,
FSSAI  No:11221334000054,,,,,,,,
TAMS GLOBAL PRIVATE LIMITED,,,,,,,,
Ledger Account,,,,,,,,
"Farukhnagar,",,,,,,,,
"Vill Khalikpur,",,,,,,,,
"Tehsil Badli,",,,,,,,,
Jhajjar,,,,,,,,
,,,,,,,,
1-Apr-23 to 31-Mar-26,,,,,,3449187.48,,
Date,Particulars,,Vch Type,Vch No.,Lookup,Debit,Credit,Remarks
28-Apr-23,To,SALES IGST,GSTSALES,NY/23-24/023,#N/A,240981.00,,Inv Number Mismatch
27-May-23,To,SALES IGST,Sales,NY/23-24/091,NY/23-24/091,65050.00,,
27-May-23,To,SALES IGST,Sales,NY/23-24/092,NY/23-24/092,43758.00,,
31-May-23,To,SALES IGST,GSTSALES,NY/23-24/097,#N/A,43239.00,,Inv not found in Blintit
31-May-23,To,SALES IGST,GSTSALES,NY/23-24/098,#N/A,59098.00,,Inv not found in Blintit
14-Jun-23,To,SALES IGST,GSTSALES,NY/23-24/122,NY/23-24/122,31469.00,,
14-Jun-23,To,SALES IGST,GSTSALES,NY/23-24/123,NY/23-24/123,26066.00,,
24-Jun-23,To,SALES IGST,GSTSALES,NY/23-24/149,NY/23-24/149,114456.00,,
29-Jun-23,To,SALES IGST,GSTSALES,NY/23-24/161,#N/A,55347.00,,Inv not found in Blintit
15-Jul-23,To,SALES IGST,GSTSALES,NY/23-24/202,NY/23-24/202,30726.00,,
17-Jul-23,To,SALES IGST,GSTSALES,NY/23-24/208,#N/A,32910.00,,Inv not found in Blintit
21-Jul-23,To,SALES IGST,GSTSALES,NY/23-24/214,#N/A,17277.00,,Inv not found in Blintit
21-Jul-23,To,SALES IGST,GSTSALES,NY/23-24/215,NY/23-24/215,18985.00,,
27-Jul-23,To,SALES IGST,GSTSALES,NY/23-24/239,#N/A,9757.00,,Inv not found in Blintit
31-Jul-23,To,SALES IGST,GSTSALES,NY/23-24/237,NY/23-24/237,62565.00,,
31-Jul-23,To,SALES IGST,GSTSALES,NY/23-24/238,NY/23-24/238,32837.00,,
31-Jul-23,To,SALES IGST,GSTSALES,NY/23-24/240,#N/A,34321.00,,Inv not found in Blintit
11-Aug-23,To,SALES IGST,GSTSALES,NY/23-24/250,#N/A,19570.00,,Inv not found in Blintit
11-Aug-23,To,SALES IGST,GSTSALES,NY/23-24/251,#N/A,14960.00,,Inv not found in Blintit
19-Aug-23,To,SALES IGST,GSTSALES,NY/23-24/257,NY/23-24/257,45314.00,,
24-Aug-23,To,SALES IGST,GSTSALES,NY/23-24/262,NY/23-24/262,113985.00,,
25-Aug-23,To,SALES IGST,GSTSALES,NY/23-24/264,#N/A,22475.00,,Inv not found in Blintit
30-Aug-23,To,SALES IGST,GSTSALES,NY/23-24/270,#N/A,44897.00,,Inv not found in Blintit
30-Aug-23,To,SALES IGST,GSTSALES,NY/23-24/271,#N/A,57618.00,,Inv not found in Blintit
30-Aug-23,To,SALES IGST,GSTSALES,NY/23-24/272,#N/A,36141.00,,Inv not found in Blintit
31-Aug-23,To,SALES IGST,GSTSALES,NY/23-24/274,#N/A,38462.00,,Inv not found in Blintit
31-Aug-23,To,SALES IGST,GSTSALES,NY/23-24/275,#N/A,26869.00,,Inv not found in Blintit
31-Aug-23,To,SALES IGST,GSTSALES,NY/23-24/276,#N/A,25802.00,,Inv not found in Blintit
8-Sep-23,To,SALES IGST,GSTSALES,NY/23-24/282,NY/23-24/282,57674.00,,
15-Sep-23,To,SALES IGST,GSTSALES,NY/23-24/287,NY/23-24/287,19907.84,,
15-Sep-23,To,SALES IGST,GSTSALES,NY/23-24/288,NY/23-24/288,17232.64,,
